[Sat Aug 06 15:48:58.599465 2022] [wsgi:error] [pid 12412:tid 1500] [client 127.0.0.1:2759] Not Found: /media/wedding_location.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:48:58.607467 2022] [wsgi:error] [pid 12412:tid 1476] [client 127.0.0.1:2761] Not Found: /media/wedding_couple2.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:48:58.616467 2022] [wsgi:error] [pid 12412:tid 1472] [client 127.0.0.1:2758] Not Found: /media/flowers.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:48:58.619469 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2760] Not Found: /media/wedding_couple.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:48:58.664468 2022] [wsgi:error] [pid 12412:tid 1500] [client 127.0.0.1:2759] Not Found: /favicon.ico\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:49:24.844469 2022] [authz_core:error] [pid 12412:tid 1500] [client 127.0.0.1:2767] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/styles.css, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:49:24.849467 2022] [authz_core:error] [pid 12412:tid 1484] [client 127.0.0.1:2768] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/main.js, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:49:24.863469 2022] [wsgi:error] [pid 12412:tid 1472] [client 127.0.0.1:2769] Not Found: /media/wedding_couple2.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:49:24.879471 2022] [wsgi:error] [pid 12412:tid 1476] [client 127.0.0.1:2770] Not Found: /media/wedding_location.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:49:24.923471 2022] [wsgi:error] [pid 12412:tid 1476] [client 127.0.0.1:2770] Not Found: /media/wedding_couple.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:49:24.930467 2022] [wsgi:error] [pid 12412:tid 1472] [client 127.0.0.1:2769] Not Found: /media/flowers.jpg\r, referer: http://127.0.0.3:9999/
